Question_number;Question;NumCorrect;Answer1;Answer2;Answer3;Answer4;Answer5;Answer6;Correct;Explanation
1;Your company built a TensorFlow neutral-network model with a large number of neurons and layers. The model fits well for the training data. However, when tested against new data, it performs poorly. What method can you employ to address this?;1;Threading;Serialization;Dropout Methods;Dimensionality Reduction;;;Dropout Methods;The model is overfitting. A dropout method can be used to prevent overfitting by randomly setting a fraction of input units to 0 at each update during training time, which helps to prevent overfitting.
2;You are building a model to make clothing recommendations. You know a user's fashion preference is likely to change over time, so you build a data pipeline to stream new data back to the model as it becomes available. How should you use this data to train the model?;1;Continuously retrain the model on just the new data;Continuously retrain the model on a combination of existing data and the new data;Train on the existing data while using the new data as your test set;Train on the new data while using the existing data as your test set;;;Continuously retrain the model on a combination of existing data and the new data;To keep the model updated and also not to lose the previous patterns, the model should be continuously retrained on a mix of the existing data and the new data.
3;You designed a database for patient records as a pilot project to cover a few hundred patients in three clinics. Your design used a single database table to represent all patients and their visits, and you used self-joins to generate reports. The server resource utilization was at 50%. Since then, the scope of the project has expanded. The database must now store 100 times more patient records. You can no longer run the reports, because they either take too long or they encounter errors with insufficient compute resources. How should you adjust the database design?;1;Add capacity (memory and disk space) to the database server by the order of 200;Shard the tables into smaller ones based on date ranges, and only generate reports with prespecified date ranges;Normalize the master patient-record table into the patient table and the visits table, and create other necessary tables to avoid self-join;Partition the table into smaller tables, with one for each clinic. Run queries against the smaller table pairs, and use unions for consolidated reports;;;Normalize the master patient-record table into the patient table and the visits table, and create other necessary tables to avoid self-join;Normalization is a process that removes redundancy in a relational database and improves its design. It would help to reduce the complexity of the queries, improve the efficiency, and reduce the load on compute resources.
4;You create an important report for your large team in Google Data Studio 360. The report uses Google BigQuery as its data source. You notice that visualizations are not showing data that is less than 1 hour old. What should you do?;1;Disable caching by editing the report settings;Disable caching in BigQuery by editing table details;Refresh your browser tab showing the visualizations;Clear your browser history for the past hour then reload the tab showing the virtualizations;;;Disable caching by editing the report settings;In Google Data Studio, the data source cache improves report performance by storing the data returned by the data source. If you disable caching in the report settings, the reports will fetch the latest data directly from the data source, improving the freshness of the data displayed in your report.
5;An external customer provides you with a daily dump of data from their database. The data flows into Google Cloud Storage GCS as comma-separated values (CSV) files. You want to analyze this data in Google BigQuery, but the data could have rows that are formatted incorrectly or corrupted. How should you build this pipeline?;1;Use federated data sources, and check data in the SQL query;Enable BigQuery monitoring in Google Stackdriver and create an alert;Import the data into BigQuery using the gcloud CLI and set max_bad_records to 0;Run a Google Cloud Dataflow batch pipeline to import the data into BigQuery, and push errors to another dead-letter table for analysis;;;Run a Google Cloud Dataflow batch pipeline to import the data into BigQuery, and push errors to another dead-letter table for analysis;By running a Google Cloud Dataflow batch pipeline, it provides the ability to handle errors during the process. The corrupted or incorrectly formatted rows can be pushed to a separate 'dead-letter' table for further analysis, ensuring that the main analysis is not hampered by such records.
6;Your weather app queries a database every 15 minutes to get the current temperature. The frontend is powered by Google App Engine and server millions of users. How should you design the frontend to respond to a database failure?;1;Issue a command to restart the database servers.;Retry the query with exponential backoff, up to a cap of 15 minutes.;Retry the query every second until it comes back online to minimize staleness of data.;Reduce the query frequency to once every hour until the database comes back online.;;;Retry the query with exponential backoff, up to a cap of 15 minutes.;Exponential backoff is a standard error handling strategy for network applications in which the client periodically retries a failed request over an increasing amount of time. If a high number of requests fail, backing off more drastically reduces the load on the server and maximizes the throughput of successful requests. The retries continue until the request is successful, or until the retry period limit is reached.
7;You are creating a model to predict housing prices. Due to budget constraints, you must run it on a single resource-constrained virtual machine. Which learning algorithm should you use?;1;Linear regression;Logistic classification;Recurrent neural network;Feedforward neural network;;;Linear regression;Linear regression is less resource-intensive compared to the other methods and works well for predicting a continuous outcome variable (such as housing prices) from one or more explanatory variables
8;You are building new real-time data warehouse for your company and will use Google BigQuery streaming inserts. There is no guarantee that data will only be sent in once but you do have a unique ID for each row of data and an event timestamp. You want to ensure that duplicates are not included while interactively querying data. Which query type should you use?;1;Include ORDER BY DESK on timestamp column and LIMIT to 1.;Use GROUP BY on the unique ID column and timestamp column and SUM on the values.;Use the LAG window function with PARTITION by unique ID along with WHERE LAG IS NOT NULL.;Use the ROW_NUMBER window function with PARTITION by unique ID along with WHERE row equals 1.;;;Use the ROW_NUMBER window function with PARTITION by unique ID along with WHERE row equals 1.;The ROW_NUMBER function assigns a unique row number to each row in a partition. By partitioning data by unique ID, each record will have a unique row number. Using a WHERE clause to filter out rows where the row number is not equal to 1 will ensure that only the first occurrence of each ID is returned in the query, thus eliminating duplicates.
9;Your company is using WILDCARD tables to query data across multiple tables with similar names. The SQL statement is currently failing with the following error:<br> Which table name will make the SQL statement work correctly?;1;'bigquery-public-data.noaa_gsod.gsod';bigquery-public-data.noaa_gsod.gsod*;'bigquery-public-data.noaa_gsod.gsod';`bigquery-public-data.noaa_gsod.gsod`;;;`bigquery-public-data.noaa_gsod.gsod*`;The wildcard character (*) is used in BigQuery to query multiple tables with similar names. When specifying the table name, the wildcard should not be enclosed within quotes.
10;Your company is in a highly regulated industry. One of your requirements is to ensure individual users have access only to the minimum amount of information required to do their jobs. You want to enforce this requirement with Google BigQuery. Which three approaches can you take? (Choose three.);3;Disable writes to certain tables.;Restrict access to tables by role.;Ensure that the data is encrypted at all times.;Restrict BigQuery API access to approved users.;Segregate data across multiple tables or databases.;Use Google Stackdriver Audit Logging to determine policy violations.;Restrict access to tables by role.|Restrict BigQuery API access to approved users.|Segregate data across multiple tables or databases.;By restricting access to tables by role, restricting BigQuery API access to approved users, and segregating data across multiple tables or databases, you can ensure that users only have access to the information they need to perform their jobs.
11;You are designing a basket abandonment system for an ecommerce company. The system will send a message to a user based on these rules:<br> <BR> No interaction by the user on the site for 1 hour, Has added more than $30 worth of products to the basket, Has not completed a transaction. You use Google Cloud Dataflow to process the data and decide if a message should be sent. How should you design the pipeline?;1;Use a fixed-time window with a duration of 60 minutes.;Use a sliding time window with a duration of 60 minutes.;Use a session window with a gap time duration of 60 minutes.;Use a global window with a time based trigger with a delay of 60 minutes.;;;Use a session window with a gap time duration of 60 minutes.;In this case, you would use session windows to group events related to a single user into sessions defined by periods of activity followed by inactivity (the gap duration). If the user has no interaction for 60 minutes, this signifies the end of a session and triggers the action (sending a message).
12;Your company handles data processing for a number of different clients. Each client prefers to use their own suite of analytics tools, with some allowing direct query access via Google BigQuery. You need to secure the data so that clients cannot see each other's data. You want to ensure appropriate access to the data. Which three steps should you take? (Choose three.);3;Load data into different partitions.;Load data into a different dataset for each client.;Put each client's BigQuery dataset into a different table.;Restrict a client's dataset to approved users.;Only allow a service account to access the datasets.;Use the appropriate identity and access management (IAM) roles for each client's users.;Load data into a different dataset for each client.|Restrict a client's dataset to approved users.|Use the appropriate identity and access management (IAM) roles for each client's users.;Loading data into a separate dataset for each client ensures data isolation, restricting a client's dataset to approved users prevents unauthorized access, and using appropriate IAM roles allows fine-grained access control to each dataset.
13;You want to process payment transactions in a point-of-sale application that will run on Google Cloud Platform. Your user base could grow exponentially, but you do not want to manage infrastructure scaling. Which Google database service should you use?;1;Cloud SQL;BigQuery;Cloud Bigtable;Cloud Datastore;;;Cloud Datastore;Cloud Datastore is a highly scalable, fully managed NoSQL database service that automatically handles sharding and replication, providing a highly reliable and durable database that scales automatically to handle your applications' load.
14;You want to use a database of information about tissue samples to classify future tissue samples as either normal or mutated. You are evaluating an unsupervised anomaly detection method for classifying the tissue samples. Which two characteristic support this method? (Choose two.);2;There are very few occurrences of mutations relative to normal samples.;There are roughly equal occurrences of both normal and mutated samples in the database.;You expect future mutations to have different features from the mutated samples in the database.;You expect future mutations to have similar features to the mutated samples in the database.;You already have labels for which samples are mutated and which are normal in the database.;;There are very few occurrences of mutations relative to normal samples.|You expect future mutations to have different features from the mutated samples in the database.;Unsupervised anomaly detection works best when there is a large imbalance in the classes (i.e., fewer mutations relative to normal samples), and when the anomalous class (mutations) are expected to exhibit different features in the future.
15;You need to store and analyze social media postings in Google BigQuery at a rate of 10,000 messages per minute in near real-time. Initially, design the application to use streaming inserts for individual postings. Your application also performs data aggregations right after the streaming inserts. You discover that the queries after streaming inserts do not exhibit strong consistency, and reports from the queries might miss in-flight data. How can you adjust your application design?;1;Re-write the application to load accumulated data every 2 minutes.;Convert the streaming insert code to batch load for individual messages.;Load the original message to Google Cloud SQL, and export the table every hour to BigQuery via streaming inserts.;Estimate the average latency for data availability after streaming inserts, and always run queries after waiting twice as long.;;;Re-write the application to load accumulated data every 2 minutes.;Batch loading accumulated data periodically is a more efficient approach as it groups many smaller operations into one larger one, reducing network overhead and increasing consistency.
16;Your startup has never implemented a formal security policy. Currently, everyone in the company has access to the datasets stored in Google BigQuery. Teams have freedom to use the service as they see fit, and they have not documented their use cases. You have been asked to secure the data warehouse. You need to discover what everyone is doing. What should you do first?;1;Use Google Stackdriver Audit Logs to review data access.;Get the identity and access management (IAM) policy of each table;Use Stackdriver Monitoring to see the usage of BigQuery query slots.;Use the Google Cloud Billing API to see what account the warehouse is being billed to.;;;Use Google Stackdriver Audit Logs to review data access.;Google Stackdriver Audit Logs allows you to review who has accessed data, giving you insight into how your BigQuery service is being used. This will be the first step in securing your data warehouse, as it will provide information on which teams or individuals are accessing certain datasets.
